Item_number,Description,"Total_650K
"
014496-695-00001,Assy Torsion arm ?150 Drive KA49,104
014496-693-00001,Assy Torsion arm ?100 Drive KA39 / KT39,70
014496-664-00600,Assy Change Over for Nose Over,78
014496-664-00300,Assy Change Over for Nose Over,2
014496-664-00100,Assy Change Over for Nose Over,4
004420-05033,Belt E8/2 U0/V5H/MT-SE black W=500 prepared FR,0
004420-06051,Belt E8/2 U0/V5H/MT-SE black W=600 prepared FR,0
014496-612-01500,Assy Nose Over,67
004420-08033,Belt E8/2 U0/V5H/MT-SE black W=800 prepared FR,0
014496-612-01200,Assy Nose Over,8
014496-612-01000,Assy Nose Over,9
014496-557-01412,Assy Underguard ?100 Centre Drive,0
014496-557-01112,Assy Underguard ?100 Centre Drive,48
014496-557-00912,Assy Underguard ?100 Centre Drive,22
014496-543-30005,"Assy sliderbed, width = 1500 mm  US",0
014496-543-15005,"Assy sliderbed, width = 1500 mm  US",93
014496-543-14505,"Assy sliderbed, width = 1500 mm  US",3
014496-543-14005,"Assy sliderbed, width = 1500 mm  US",15
014496-543-13505,"Assy sliderbed, width = 1500 mm  US",5
014496-543-13005,"Assy sliderbed, width = 1500 mm  US",4
014496-543-12505,"Assy sliderbed, width = 1500 mm  US",4
014496-543-12005,"Assy sliderbed, width = 1500 mm  US",5
014496-543-11505,"Assy sliderbed, width = 1500 mm  US",3
014496-543-11005,"Assy sliderbed, width = 1500 mm  US",1
014496-543-10505,"Assy sliderbed, width = 1500 mm  US",0
014496-543-10005,"Assy sliderbed, width = 1500 mm  US",5
014496-543-09505,"Assy sliderbed, width = 1500 mm  US",6
014496-543-09005,"Assy sliderbed, width = 1500 mm  US",8
014496-543-08505,"Assy sliderbed, width = 1500 mm  US",6
014496-543-08005,"Assy sliderbed, width = 1500 mm  US",17
014496-543-07505,"Assy sliderbed, width = 1500 mm  US",4
014496-543-07005,"Assy sliderbed, width = 1500 mm  US",2
014496-543-06505,"Assy sliderbed, width = 1500 mm  US",15
014496-543-06005,"Assy sliderbed, width = 1500 mm  US",4
014496-543-05505,"Assy sliderbed, width = 1500 mm  US",1
014496-543-05005,"Assy sliderbed, width = 1500 mm  US",4
014496-543-04505,"Assy sliderbed, width = 1500 mm  US",24
014496-445-00008,Assy drip pan,66
014496-445-00007,Assy drip pan,109
014496-445-00006,Assy drip pan,70
014496-357-01500,Assy support transition plate BF-BM,0
014496-357-01200,Assy support transition plate BF-BM,0
014496-343-04005,Assy Mini Sliderbed,0
014496-343-04002,Assy Mini Sliderbed,0
014496-343-03002,Assy Mini Sliderbed,0
014496-343-02502,Assy Mini Sliderbed,0
014496-331-00001,Slide Plate side A,0
014496-300-01000,Assy ETU ?75,68
014496-284-15498,Assy underguard,0
014496-284-15398,Assy underguard,0
014496-284-15225,Assy underguard,158
014496-284-15152,Assy underguard,21
014496-284-12498,Assy underguard,6
014496-284-12398,Assy underguard,0
014496-284-12298,Assy underguard,0
014496-284-12248,Assy underguard,0
014496-284-12225,Assy underguard,42
014496-284-12152,Assy underguard,0
014496-284-10225,Assy underguard,8
014496-284-10152,Assy underguard,14
014496-270-00300,Guardplate outside right BF-BF,0
014496-268-00300,Guardplate outside left BF-BF,0
014496-266-00300,Assy guardplate BF-BF,3
014496-243-00600,Assy change over ETU,16
014496-243-00300,ASSY GUARD RAIL ETU END CAP,14
014496-243-00100,ASSY GUARD RAIL ETU END CAP,4
014496-212-00001,Assy side guarding 0-300mm transition left,17
014496-211-00001,Side guarding 0-300mm transition left,0
014496-208-00001,Assy side guarding 100-300mm transition left,6
014496-206-00001,Assy side guarding 0-300mm transition right,18
014496-201-00001,Side guarding 100-300mm transition right,6
014496-194-30000,"Assy sliderbed, Width= 1000 - 1200 mm  US",25
014496-194-25502,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-24500,"Assy sliderbed, Width= 1000 - 1200 mm  US",10
014496-194-23500,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-23000,"Assy sliderbed, Width= 1000 - 1200 mm  US",4
014496-194-21502,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-21002,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-20502,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-19002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-18502,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-18000,"Assy sliderbed, Width= 1000 - 1200 mm  US",2
014496-194-16502,"Assy sliderbed, Width= 1000 - 1200 mm  US",24
014496-194-16002,"Assy sliderbed, Width= 1000 - 1200 mm  US",2
014496-194-15002,"Assy sliderbed, Width= 1000 - 1200 mm  US",8
014496-194-15000,"Assy sliderbed, Width= 1000 - 1200 mm  US",3
014496-194-14002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-13502,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-12502,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-12002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-10502,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-10002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-09002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-08502,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-08002,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-08000,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-07502,"Assy sliderbed, Width= 1000 - 1200 mm  US",0
014496-194-07002,"Assy sliderbed, Width= 1000 - 1200 mm  US",2
014496-194-06502,"Assy sliderbed, Width= 1000 - 1200 mm  US",1
014496-194-05502,"Assy sliderbed, Width= 1000 - 1200 mm  US",2
014496-194-05002,"Assy sliderbed, Width= 1000 - 1200 mm  US",2
014496-194-04502,"Assy sliderbed, Width= 1000 - 1200 mm  US",4
014496-064-30001,assy sliderbed heavy,80
014496-059-30002,assy sliderbed heavy,64
014496-059-30001,assy sliderbed heavy,25
014496-059-26002,assy sliderbed heavy,0
014496-059-25002,assy sliderbed heavy,0
014496-059-24002,assy sliderbed heavy,0
014496-059-24001,assy sliderbed heavy,0
014496-059-23002,assy sliderbed heavy,0
014496-059-21502,assy sliderbed heavy,1
014496-059-20502,assy sliderbed heavy,0
014496-059-20002,assy sliderbed heavy,2
014496-059-18001,assy sliderbed heavy,1
014496-059-17502,assy sliderbed heavy,1
014496-059-16502,assy sliderbed heavy,0
014496-059-16002,assy sliderbed heavy,0
014496-059-16001,assy sliderbed heavy,0
014496-059-15004,assy sliderbed heavy,18
014496-059-15002,assy sliderbed heavy,3
014496-059-15001,assy sliderbed heavy,4
014496-059-14504,assy sliderbed heavy,1
014496-059-14501,assy sliderbed heavy,0
014496-059-14004,assy sliderbed heavy,0
014496-059-14002,assy sliderbed heavy,1
014496-059-14001,assy sliderbed heavy,0
014496-059-13504,assy sliderbed heavy,3
014496-059-13502,assy sliderbed heavy,18
014496-059-13004,assy sliderbed heavy,0
014496-059-13002,assy sliderbed heavy,1
014496-059-12504,assy sliderbed heavy,2
014496-059-12502,assy sliderbed heavy,1
014496-059-12501,assy sliderbed heavy,2
014496-059-12004,assy sliderbed heavy,2
014496-059-12002,assy sliderbed heavy,0
014496-059-11504,assy sliderbed heavy,0
014496-059-11004,assy sliderbed heavy,2
014496-059-10504,assy sliderbed heavy,1
014496-059-10502,assy sliderbed heavy,0
014496-059-10501,assy sliderbed heavy,13
014496-059-10004,assy sliderbed heavy,3
014496-059-10001,assy sliderbed heavy,1
014496-059-09504,assy sliderbed heavy,2
014496-059-09502,assy sliderbed heavy,0
014496-059-09004,assy sliderbed heavy,5
014496-059-09002,assy sliderbed heavy,0
014496-059-08504,assy sliderbed heavy,0
014496-059-08501,assy sliderbed heavy,0
014496-059-08004,assy sliderbed heavy,1
014496-059-08002,assy sliderbed heavy,0
014496-059-08001,assy sliderbed heavy,2
014496-059-07504,assy sliderbed heavy,3
014496-059-07502,assy sliderbed heavy,1
014496-059-07501,assy sliderbed heavy,3
014496-059-07004,assy sliderbed heavy,0
014496-059-07002,assy sliderbed heavy,2
014496-059-07001,assy sliderbed heavy,2
014496-059-06504,assy sliderbed heavy,0
014496-059-06004,assy sliderbed heavy,0
014496-059-05504,assy sliderbed heavy,1
014496-059-05004,assy sliderbed heavy,1
014496-059-05002,assy sliderbed heavy,0
014496-059-04504,assy sliderbed heavy,3
014496-059-04502,assy sliderbed heavy,7
014496-046-15005,"Assy sliderbed, width = 1500 mm",0
014496-046-14505,"Assy sliderbed, width = 1500 mm",0
014496-046-14005,"Assy sliderbed, width = 1500 mm",0
014496-046-13505,"Assy sliderbed, width = 1500 mm",0
014496-046-13005,"Assy sliderbed, width = 1500 mm",0
014496-046-12505,"Assy sliderbed, width = 1500 mm",0
014496-046-12005,"Assy sliderbed, width = 1500 mm",0
014496-046-11505,"Assy sliderbed, width = 1500 mm",0
014496-046-11005,"Assy sliderbed, width = 1500 mm",0
014496-046-10505,"Assy sliderbed, width = 1500 mm",0
014496-046-10005,"Assy sliderbed, width = 1500 mm",0
014496-046-09505,"Assy sliderbed, width = 1500 mm",0
014496-046-09005,"Assy sliderbed, width = 1500 mm",0
014496-046-08505,"Assy sliderbed, width = 1500 mm",0
014496-046-08005,"Assy sliderbed, width = 1500 mm",0
014496-046-07505,"Assy sliderbed, width = 1500 mm",0
014496-046-07005,"Assy sliderbed, width = 1500 mm",0
014496-046-06505,"Assy sliderbed, width = 1500 mm",0
014496-046-06005,"Assy sliderbed, width = 1500 mm",0
014496-046-05505,"Assy sliderbed, width = 1500 mm",0
014496-046-05005,"Assy sliderbed, width = 1500 mm",0
004420-09014,E8/2 U0/V5H/MT-SE black W= 900 endless FR,0
014496-046-04505,"Assy sliderbed, width = 1500 mm",0
004420-07014,E8/2 U0/V5H/MT-SE black W=700 endless FR,0
004420-07033,E8/2 U0/V5H/MT-SE black W=700 prepared FR,0
004420-08014,E8/2 U0/V5H/MT-SE black W=800 endless FR,0
014496-045-30002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-30000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-28500,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-25502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-24500,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-24002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-24000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-23502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-23000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-22000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-21002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-20502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-19502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-19002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-17002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-16502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-16002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-15002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-15000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-14002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-13002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-12502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-12002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-11002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-10502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-10002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-09502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-09500,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-09002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-08502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-08002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-08000,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-07502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-07002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-06002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-05502,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-05002,"Assy sliderbed, Width= 1000 - 1200 mm",0
014496-045-04502,"Assy sliderbed, Width= 1000 - 1200 mm",0
013870-054-00001,Netting support,61
013870-046-00001,Assy Motor Communication Module PulseRoller EZ-24V with opto coupler,0
013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,0
013164-780-01500,SCU motor cable CE / HF,0
013164-778-00160,Assy Support low for Posisorter,0
013164-763-30740,Assy filling plate without guiding 500-3000 W=1300,0
013164-760-03000,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02930,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02920,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02870,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02810,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02670,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02650,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02540,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02530,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02520,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02510,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02500,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02490,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02480,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02470,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02320,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02300,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02260,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02210,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02200,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02190,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02120,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02100,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02090,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-02080,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01940,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01930,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01800,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01790,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01760,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01750,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01660,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01520,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-01510,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-00980,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-00960,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-00920,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-00520,Assy filling plate without guiding 500-3000 W=1000,0
013164-760-00500,Assy filling plate without guiding 500-3000 W=1000,0
013164-713-32980,Weldment Filling Plate 500-3000 W=1300,0
013164-713-31940,Weldment Filling Plate 500-3000 W=1300,0
013164-713-31920,Weldment Filling Plate 500-3000 W=1300,0
013164-713-31520,Weldment Filling Plate 500-3000 W=1300,0
013164-713-31160,Weldment Filling Plate 500-3000 W=1300,0
013164-713-31020,Weldment Filling Plate 500-3000 W=1300,0
013164-713-30920,Weldment Filling Plate 500-3000 W=1300,0
013164-710-03000,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02960,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02920,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02900,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02880,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02840,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02820,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02800,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02760,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02740,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02720,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02700,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02660,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02600,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02580,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02560,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02540,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02520,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02400,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02380,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02360,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02340,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02220,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02160,Weldment Filling Plate 500-3000 W=1000,0
013164-710-02100,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01900,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01760,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01620,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01600,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01580,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01460,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01400,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01380,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01340,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01300,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01260,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01240,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01080,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01060,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01040,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01020,Weldment Filling Plate 500-3000 W=1000,0
013164-710-01000,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00980,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00940,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00920,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00900,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00880,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00860,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00820,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00780,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00760,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00740,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00720,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00700,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00640,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00600,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00560,Weldment Filling Plate 500-3000 W=1000,0
013164-710-00500,Weldment Filling Plate 500-3000 W=1000,0
013164-683-13001,"Sub-Assy Support, PTO",0
013164-683-10004,"Sub-Assy Support, PTO",0
013164-683-10002,"Sub-Assy Support, PTO",0
013164-683-10001,"Sub-Assy Support, PTO",0
013164-630-20654,Telescopic Wedge belt conveyor SPO drive B=B - 5mm waterfall,0
013164-630-10654,Telescopic Wedge belt conveyor SPO drive B=B - 5mm waterfall,0
013164-628-21070,Assy Side Cover Drive Motorside SPO / SCO,0
013164-628-11070,Assy Side Cover Drive Motorside SPO / SCO,0
013164-583-10004,"Sub-Assy Support, PTO, Side Guarding for Wedgebelt - Horizontal",0
013164-583-10002,"Sub-Assy Support, PTO, Side Guarding for Wedgebelt - Horizontal",0
013164-583-10001,"Sub-Assy Support, PTO, Side Guarding for Wedgebelt - Horizontal",0
013164-570-10099,Sub-assy SCU HP Ethernet (Non Galvanic),0
013164-520-00001,Assy bracket 'Do not enter' for drive SPO/SCO,0
013164-515-00001,Fastening kit bottom cover SPO/SCO,0
013164-514-00001,Assy mounting materials for safety fencing Drive SPO,0
013164-513-00001,Assy mounting materials for safety fencing ETU SPO,0
013164-494-00001,Safety fencing for Drive SPO,0
013164-493-00001,Safety fencing for ETU SPO,0
013164-471-21202,Assy side guarding drive and wedge belt - Wide,0
013164-471-11202,Assy side guarding drive and wedge belt - Wide,0
013164-471-10300,Assy side guarding drive and wedge belt - Wide,0
013164-471-01202,Assy side guarding drive and wedge belt - Wide,0
013164-414-00022,Assy inlet with sweep plate,0
013164-414-00021,Assy inlet with sweep plate,0
013164-293-40250,Support Assy For Drive SPO,0
013164-292-70350,Support Assy Spo Bedsection,0
013164-292-40350,Support Assy Spo Bedsection,0
013164-230-03000,Assy Side Cover Polycarbonat,0
013164-230-02700,Assy Side Cover Polycarbonat,0
013164-230-02250,Assy Side Cover Polycarbonat,0
013164-195-13011,Assy ETU SPO,0
013164-195-10012,Assy ETU SPO,0
013164-195-10011,Assy ETU SPO,0
013164-190-13011,Assy drive SPO,0
013164-190-10013,Assy drive SPO,0
013164-190-10012,Assy drive SPO,0
013164-190-10011,Assy drive SPO,0
013164-059-01300,Assembly torsion arm,0
013164-059-01000,Assembly torsion arm,0
013164-043-13000,Assy lifting unit SPO 2,0
013164-043-10000,Assy lifting unit SPO 2,0
013162-139-00001,Distance bush,104
013162-087-00300,"Side guard (turn point channel-channel) L=714,76",0
013162-087-00100,"Side guard (turn point channel-channel) L=514,1",27
013162-083-00001,Assy Connection Bracket Roller Junction to SPO,0
013162-030-10300,Sub assy Side guard support  L=423,7625
013162-030-10100,Sub assy Side guard support  L=223,2495
013162-030-00300,Sub assy Side guard support  L=423,0
013162-030-00100,Sub assy Side guard support  L=223,0
013162-021-00001,Connection turn able,104
013107-256-00450,"Assy sideguarding H=100 (without PEC-holes) L=447,5",2
013107-256-00800,"Assy sideguarding H=100 (without PEC-holes) L=797,5",0
013107-256-00900,"Assy sideguarding H=100 (without PEC-holes) L=897,5",0
013107-256-01000,"Assy sideguarding H=100 (without PEC-holes) L=997,5",2
013107-256-01050,"Assy sideguarding H=100 (without PEC-holes) L=1047,5",0
013107-256-01100,"Assy sideguarding H=100 (without PEC-holes) L=1097,5",0
013107-256-01250,"Assy sideguarding H=100 (without PEC-holes) L=1247,5",4
013107-256-01350,"Assy sideguarding H=100 (without PEC-holes) L=1347,5",2
013107-256-01450,"Assy sideguarding H=100 (without PEC-holes) L=1447,5",0
013107-256-01500,"Assy sideguarding H=100 (without PEC-holes) L=1497,5",16
013107-256-01600,"Assy sideguarding H=100 (without PEC-holes) L=1597,5",0
013107-256-01800,"Assy sideguarding H=100 (without PEC-holes) L=1797,5",3
013107-256-01900,"Assy sideguarding H=100 (without PEC-holes) L=1897,5",0
013107-256-01950,"Assy sideguarding H=100 (without PEC-holes) L=1947,5",2
013107-256-02000,"Assy sideguarding H=100 (without PEC-holes) L=1997,5",2
013107-256-02300,"Assy sideguarding H=100 (without PEC-holes) L=2297,5",2
013107-256-02400,"Assy sideguarding H=100 (without PEC-holes) L=2397,5",0
013107-256-02600,"Assy sideguarding H=100 (without PEC-holes) L=2597,5",2
013107-256-02850,"Assy sideguarding H=100 (without PEC-holes) L=2847,5",0
013107-256-00750,"Assy sideguarding H=100 (without PEC-holes) L=747,5",6
013107-256-03000,"Assy sideguarding H=100 (without PEC-holes) L=2997,5",64
013070-011-00190,Assy Slideplate left,0
013070-011-00120,Assy Slideplate left,0
013070-011-00090,Assy Slideplate left,0
013070-010-00190,Assy Slideplate Right,0
013070-010-00120,Assy Slideplate Right,0
013070-010-00090,Assy Slideplate Right,0
013070-009-00001,ASSY  SLIDEPLATE LR-LRC Left,0
013070-008-00001,ASSY  SLIDEPLATE LR-LRC Right,0
013064-998-01020,Assy Cover,28
013064-998-00820,Assy Cover,58
013064-998-00720,Assy Cover,330
013064-998-00620,Assy Cover,1410
013064-998-00520,Assy Cover,1398
013064-973-10760,Straight Drive Roller PM500FE-90,0
013064-973-10560,Straight Drive Roller PM500FE-90,1
013064-973-10460,Straight Drive Roller PM500FE-90,75
013064-973-00860,Straight Drive Roller PM500FE-90,0
013064-973-00760,Straight Drive Roller PM500FE-90,6
013064-973-00660,Straight Drive Roller PM500FE-90,6
013064-973-00560,Straight Drive Roller PM500FE-90,0
013064-973-00490,Straight Drive Roller PM500FE-90,0
013064-973-00478,Straight Drive Roller PM500FE-90,0
013064-973-00460,Straight Drive Roller PM500FE-90,0
013064-936-00001,Assy 5/2 Valve for ARP,1070
013064-931-12100,Assy Lock plate drummotor,0
013064-917-10760,Straight Drive Roller PM500FE-60,7
013064-917-10660,Straight Drive Roller PM500FE-60,382
013064-917-10560,Straight Drive Roller PM500FE-60,42
013064-917-10460,Straight Drive Roller PM500FE-60,864
013064-917-00960,Straight Drive Roller PM500FE-60,0
013064-917-00760,Straight Drive Roller PM500FE-60,32
013064-917-00660,Straight Drive Roller PM500FE-60,62
013064-917-00560,Straight Drive Roller PM500FE-60,1036
013064-917-00522,Straight Drive Roller PM500FE-60,0
013064-917-00488,Straight Drive Roller PM500FE-60,0
013064-917-00460,Straight Drive Roller PM500FE-60,1293
013064-889-00859,Drive roll Poly-V Belt EC310 9:1 EL=859,0
013064-889-00659,Drive roll Poly-V Belt EC310 9:1 EL=659,0
013064-884-00002,"Accelerator i=1,5",0
013064-884-00001,"Accelerator i=1,5",0
013064-848-00001,cable protection plate,0
013064-798-00560,Crossmember small,0
013064-798-00460,Crossmember small,14
013064-782-00001,Assy Cabling CBM-50E (1 Dir M12),4319
013064-781-00001,Assy Cabling CBM-50E (2 Dir M12),197
013064-749-00795,assy fingerprotection MB channel,448
013064-702-00644,"?50 driven roller with axle ?14 axle extension 8 mm (2x), M8, Low Noise EL= EL",0
013064-702-00544,"?50 driven roller with axle ?14 axle extension 8 mm (2x), M8, Low Noise EL= EL",0
013064-702-00444,"?50 driven roller with axle ?14 axle extension 8 mm (2x), M8, Low Noise EL= EL",0
013064-687-00958,"?50 Slave roller with spring,St/hex Axle EL=958 L=980mm",142
013064-687-00858,"?50 Slave roller with spring,St/hex Axle EL=858 L=880mm",570
013064-687-00758,"?50 Slave roller with spring,St/hex Axle EL=758 L=780mm",1084
013064-687-00658,"?50 Slave roller with spring,St/hex Axle EL=658 L=680mm",189
013064-687-00558,"?50 Slave roller with spring,St/hex Axle EL=558 L=580mm",3947
013064-687-00458,"?50 Slave roller with spring,St/hex Axle EL=458 L=480mm",9310
013064-682-11002,Assy guardrail RM,1
013064-682-01002,Assy guardrail RM,1
013064-643-00660,?50 tapered roller EL= EL Low Noise,0
013064-643-00560,?50 tapered roller EL= EL Low Noise,0
013064-643-00460,?50 tapered roller EL= EL Low Noise,0
013064-613-12062,Assy height detection support front conveyor mounted,0
013064-613-11062,Assy height detection support front conveyor mounted,8
013064-560-10720,Assy shallow drive ?75,1
013064-560-10620,Assy shallow drive ?75,0
013064-560-10520,Assy shallow drive ?75,14
013064-560-01020,Assy shallow drive ?75,1
013064-560-00720,Assy shallow drive ?75,0
013064-560-00620,Assy shallow drive ?75,1
013064-560-00520,Assy shallow drive ?75,0
013064-558-00001,end cover channel,3375
013064-552-00001,Support Bracket,24
013064-539-00001,support TBS,18
013064-506-00001,Assy Connection LRJ,48
013064-478-00001,assy ?20 roller,0
